obf-class	obf-method	obf-signature	cb-method	cb-signature
ahk	a	()V	a	()V
ahl	ahl	(Ljava/io/File;)V	net.minecraft.server.WorldLoaderServer	(Ljava/io/File;)V
ahl	c	()I	c	()I
ahl	d	()V	d	()V
ahl	a	(Ljava/lang/String;Z)Laia;	a	(Ljava/lang/String;Z)Lnet/minecraft/server/IDataManager;
ahl	b	(Ljava/lang/String;)Z	isConvertable	(Ljava/lang/String;)Z
ahl	a	(Ljava/lang/String;Lkj;)Z	convert	(Ljava/lang/String;Lnet/minecraft/server/IProgressUpdate;)Z
ahl	g	(Ljava/lang/String;)V	g	(Ljava/lang/String;)V
ahl	a	(Ljava/io/File;Ljava/lang/Iterable;Lyw;IILkj;)V	a	(Ljava/io/File;Ljava/lang/Iterable;Lnet/minecraft/server/WorldChunkManager;IILnet/minecraft/server/IProgressUpdate;)V
ahl	a	(Ljava/io/File;Ljava/io/File;Lyw;IILkj;)V	a	(Ljava/io/File;Ljava/io/File;Lnet/minecraft/server/WorldChunkManager;IILnet/minecraft/server/IProgressUpdate;)V
ahl	a	(Ljava/io/File;Ljava/util/Collection;)V	a	(Ljava/io/File;Ljava/util/Collection;)V
ahm	ahm	(Lahl;)V	net.minecraft.server.ChunkFilenameFilter	(Lnet/minecraft/server/WorldLoaderServer;)V
ahm	accept	(Ljava/io/File;Ljava/lang/String;)Z	accept	(Ljava/io/File;Ljava/lang/String;)Z
ahn	ahn	(Lahq;)V	net.minecraft.server.SecondaryWorldData	(Lnet/minecraft/server/WorldData;)V
ahn	a	()Lbq;	a	()Lnet/minecraft/server/NBTTagCompound;
ahn	a	(Lbq;)Lbq;	a	(Lnet/minecraft/server/NBTTagCompound;)Lnet/minecraft/server/NBTTagCompound;
ahn	b	()J	getSeed	()J
ahn	c	()I	c	()I
ahn	d	()I	d	()I
ahn	e	()I	e	()I
ahn	f	()J	getTime	()J
ahn	g	()J	getDayTime	()J
ahn	i	()Lbq;	i	()Lnet/minecraft/server/NBTTagCompound;
ahn	j	()I	j	()I
ahn	k	()Ljava/lang/String;	getName	()Ljava/lang/String;
ahn	l	()I	l	()I
ahn	n	()Z	isThundering	()Z
ahn	o	()I	getThunderDuration	()I
ahn	p	()Z	hasStorm	()Z
ahn	q	()I	getWeatherDuration	()I
ahn	r	()Lye;	getGameType	()Lnet/minecraft/server/EnumGamemode;
ahn	b	(J)V	setTime	(J)V
ahn	c	(J)V	setDayTime	(J)V
ahn	a	(III)V	setSpawn	(III)V
ahn	a	(Ljava/lang/String;)V	setName	(Ljava/lang/String;)V
ahn	e	(I)V	e	(I)V
ahn	a	(Z)V	setThundering	(Z)V
ahn	f	(I)V	setThunderDuration	(I)V
ahn	b	(Z)V	setStorm	(Z)V
ahn	g	(I)V	setWeatherDuration	(I)V
ahn	s	()Z	shouldGenerateMapFeatures	()Z
ahn	t	()Z	isHardcore	()Z
ahn	u	()Lyg;	getType	()Lnet/minecraft/server/WorldType;
ahn	a	(Lyg;)V	setType	(Lnet/minecraft/server/WorldType;)V
ahn	v	()Z	allowCommands	()Z
ahn	w	()Z	isInitialized	()Z
ahn	d	(Z)V	d	(Z)V
ahn	x	()Lxs;	getGameRules	()Lnet/minecraft/server/GameRules;
aho	aho	(Ljava/io/File;Ljava/lang/String;Z)V	net.minecraft.server.WorldNBTStorage	(Ljava/io/File;Ljava/lang/String;Z)V
aho	h	()V	h	()V
aho	b	()Ljava/io/File;	getDirectory	()Ljava/io/File;
aho	c	()V	checkSession	()V
aho	a	(Laaj;)Lzx;	createChunkLoader	(Lnet/minecraft/server/WorldProvider;)Lnet/minecraft/server/IChunkLoader;
aho	d	()Lahq;	getWorldData	()Lnet/minecraft/server/WorldData;
aho	a	(Lahq;Lbq;)V	saveWorldData	(Lnet/minecraft/server/WorldData;Lnet/minecraft/server/NBTTagCompound;)V
aho	a	(Lahq;)V	saveWorldData	(Lnet/minecraft/server/WorldData;)V
aho	a	(Lqx;)V	save	(Lnet/minecraft/server/EntityHuman;)V
aho	b	(Lqx;)V	load	(Lnet/minecraft/server/EntityHuman;)V
aho	a	(Ljava/lang/String;)Lbq;	getPlayerData	(Ljava/lang/String;)Lnet/minecraft/server/NBTTagCompound;
aho	e	()Lain;	getPlayerFileData	()Lnet/minecraft/server/PlayerFileData;
aho	f	()[Ljava/lang/String;	getSeenPlayers	()[Ljava/lang/String;
aho	a	()V	a	()V
aho	b	(Ljava/lang/String;)Ljava/io/File;	getDataFile	(Ljava/lang/String;)Ljava/io/File;
aho	g	()Ljava/lang/String;	g	()Ljava/lang/String;
aho	{}	()V	{}	()V
ahp	ahp	(Ljava/io/File;)V	net.minecraft.server.WorldLoader	(Ljava/io/File;)V
ahp	d	()V	d	()V
ahp	c	(Ljava/lang/String;)Lahq;	c	(Ljava/lang/String;)Lnet/minecraft/server/WorldData;
ahp	e	(Ljava/lang/String;)Z	e	(Ljava/lang/String;)Z
ahp	a	([Ljava/io/File;)Z	a	([Ljava/io/File;)Z
ahp	a	(Ljava/lang/String;Z)Laia;	a	(Ljava/lang/String;Z)Lnet/minecraft/server/IDataManager;
ahp	b	(Ljava/lang/String;)Z	isConvertable	(Ljava/lang/String;)Z
ahp	a	(Ljava/lang/String;Lkj;)Z	convert	(Ljava/lang/String;Lnet/minecraft/server/IProgressUpdate;)Z
ahq	ahq	()V	net.minecraft.server.WorldData	()V
ahq	ahq	(Lbq;)V	net.minecraft.server.WorldData	(Lnet/minecraft/server/NBTTagCompound;)V
ahq	ahq	(Lyd;Ljava/lang/String;)V	net.minecraft.server.WorldData	(Lnet/minecraft/server/WorldSettings;Ljava/lang/String;)V
ahq	ahq	(Lahq;)V	net.minecraft.server.WorldData	(Lnet/minecraft/server/WorldData;)V
ahq	a	()Lbq;	a	()Lnet/minecraft/server/NBTTagCompound;
ahq	a	(Lbq;)Lbq;	a	(Lnet/minecraft/server/NBTTagCompound;)Lnet/minecraft/server/NBTTagCompound;
ahq	a	(Lbq;Lbq;)V	a	(Lnet/minecraft/server/NBTTagCompound;Lnet/minecraft/server/NBTTagCompound;)V
ahq	b	()J	getSeed	()J
ahq	c	()I	c	()I
ahq	d	()I	d	()I
ahq	e	()I	e	()I
ahq	f	()J	getTime	()J
ahq	g	()J	getDayTime	()J
ahq	i	()Lbq;	i	()Lnet/minecraft/server/NBTTagCompound;
ahq	j	()I	j	()I
ahq	b	(J)V	setTime	(J)V
ahq	c	(J)V	setDayTime	(J)V
ahq	a	(III)V	setSpawn	(III)V
ahq	k	()Ljava/lang/String;	getName	()Ljava/lang/String;
ahq	a	(Ljava/lang/String;)V	setName	(Ljava/lang/String;)V
ahq	l	()I	l	()I
ahq	e	(I)V	e	(I)V
ahq	n	()Z	isThundering	()Z
ahq	a	(Z)V	setThundering	(Z)V
ahq	o	()I	getThunderDuration	()I
ahq	f	(I)V	setThunderDuration	(I)V
ahq	p	()Z	hasStorm	()Z
ahq	b	(Z)V	setStorm	(Z)V
ahq	q	()I	getWeatherDuration	()I
ahq	g	(I)V	setWeatherDuration	(I)V
ahq	r	()Lye;	getGameType	()Lnet/minecraft/server/EnumGamemode;
ahq	s	()Z	shouldGenerateMapFeatures	()Z
ahq	a	(Lye;)V	setGameType	(Lnet/minecraft/server/EnumGamemode;)V
ahq	t	()Z	isHardcore	()Z
ahq	u	()Lyg;	getType	()Lnet/minecraft/server/WorldType;
ahq	a	(Lyg;)V	setType	(Lnet/minecraft/server/WorldType;)V
ahq	y	()Ljava/lang/String;	getGeneratorOptions	()Ljava/lang/String;
ahq	v	()Z	allowCommands	()Z
ahq	w	()Z	isInitialized	()Z
ahq	d	(Z)V	d	(Z)V
ahq	x	()Lxs;	getGameRules	()Lnet/minecraft/server/GameRules;
ahq	a	(Ll;)V	a	(Lnet/minecraft/server/CrashReportSystemDetails;)V
ahq	a	(Lahq;)Lyg;	a	(Lnet/minecraft/server/WorldData;)Lnet/minecraft/server/WorldType;
ahq	b	(Lahq;)Z	b	(Lnet/minecraft/server/WorldData;)Z
ahq	c	(Lahq;)Ljava/lang/String;	c	(Lnet/minecraft/server/WorldData;)Ljava/lang/String;
ahq	d	(Lahq;)I	d	(Lnet/minecraft/server/WorldData;)I
ahq	e	(Lahq;)I	e	(Lnet/minecraft/server/WorldData;)I
ahq	f	(Lahq;)I	f	(Lnet/minecraft/server/WorldData;)I
ahq	g	(Lahq;)J	g	(Lnet/minecraft/server/WorldData;)J
ahq	h	(Lahq;)J	h	(Lnet/minecraft/server/WorldData;)J
ahq	i	(Lahq;)I	i	(Lnet/minecraft/server/WorldData;)I
ahq	j	(Lahq;)I	j	(Lnet/minecraft/server/WorldData;)I
ahq	k	(Lahq;)I	k	(Lnet/minecraft/server/WorldData;)I
ahq	l	(Lahq;)Z	l	(Lnet/minecraft/server/WorldData;)Z
ahq	m	(Lahq;)I	m	(Lnet/minecraft/server/WorldData;)I
ahq	n	(Lahq;)Z	n	(Lnet/minecraft/server/WorldData;)Z
ahq	o	(Lahq;)Lye;	o	(Lnet/minecraft/server/WorldData;)Lnet/minecraft/server/EnumGamemode;
ahq	p	(Lahq;)Z	p	(Lnet/minecraft/server/WorldData;)Z
ahq	q	(Lahq;)Z	q	(Lnet/minecraft/server/WorldData;)Z
ahr	ahr	(Lahq;)V	net.minecraft.server.CrashReportLevelSeed	(Lnet/minecraft/server/WorldData;)V
ahr	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahr	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahs	ahs	(Lahq;)V	net.minecraft.server.CrashReportLevelGenerator	(Lnet/minecraft/server/WorldData;)V
ahs	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahs	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
aht	aht	(Lahq;)V	net.minecraft.server.CrashReportLevelGeneratorOptions	(Lnet/minecraft/server/WorldData;)V
aht	a	()Ljava/lang/String;	a	()Ljava/lang/String;
aht	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahu	ahu	(Lahq;)V	net.minecraft.server.CrashReportLevelSpawnLocation	(Lnet/minecraft/server/WorldData;)V
ahu	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahu	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahv	ahv	(Lahq;)V	net.minecraft.server.CrashReportLevelTime	(Lnet/minecraft/server/WorldData;)V
ahv	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahv	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahw	ahw	(Lahq;)V	net.minecraft.server.CrashReportLevelDimension	(Lnet/minecraft/server/WorldData;)V
ahw	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahw	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahx	ahx	(Lahq;)V	net.minecraft.server.CrashReportLevelStorageVersion	(Lnet/minecraft/server/WorldData;)V
ahx	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahx	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahy	ahy	(Lahq;)V	net.minecraft.server.CrashReportLevelWeather	(Lnet/minecraft/server/WorldData;)V
ahy	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahy	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ahz	ahz	(Lahq;)V	net.minecraft.server.CrashReportLevelGameMode	(Lnet/minecraft/server/WorldData;)V
ahz	a	()Ljava/lang/String;	a	()Ljava/lang/String;
ahz	call	()Ljava/lang/Object;	call	()Ljava/lang/Object;
ai	ai	()V	net.minecraft.server.CommandGive	()V
ai	c	()Ljava/lang/String;	c	()Ljava/lang/String;
ai	a	()I	a	()I
ai	a	(Laa;)Ljava/lang/String;	a	(Lnet/minecraft/server/ICommandListener;)Ljava/lang/String;
ai	b	(Laa;[Ljava/lang/String;)V	b	(Lnet/minecraft/server/ICommandListener;[Ljava/lang/String;)V
ai	a	(Laa;[Ljava/lang/String;)Ljava/util/List;	a	(Lnet/minecraft/server/ICommandListener;[Ljava/lang/String;)Ljava/util/List;
ai	d	()[Ljava/lang/String;	d	()[Ljava/lang/String;
ai	a	(I)Z	a	(I)Z
aia	d	()Lahq;	getWorldData	()Lnet/minecraft/server/WorldData;
aia	c	()V	checkSession	()V
aia	a	(Laaj;)Lzx;	createChunkLoader	(Lnet/minecraft/server/WorldProvider;)Lnet/minecraft/server/IChunkLoader;
aia	a	(Lahq;Lbq;)V	saveWorldData	(Lnet/minecraft/server/WorldData;Lnet/minecraft/server/NBTTagCompound;)V
aia	a	(Lahq;)V	saveWorldData	(Lnet/minecraft/server/WorldData;)V
aia	e	()Lain;	getPlayerFileData	()Lnet/minecraft/server/PlayerFileData;
aia	a	()V	a	()V
aia	b	(Ljava/lang/String;)Ljava/io/File;	getDataFile	(Ljava/lang/String;)Ljava/io/File;
aia	g	()Ljava/lang/String;	g	()Ljava/lang/String;
aic	a	(Ljava/lang/String;Z)Laia;	a	(Ljava/lang/String;Z)Lnet/minecraft/server/IDataManager;
aic	d	()V	d	()V
aic	e	(Ljava/lang/String;)Z	e	(Ljava/lang/String;)Z
aic	b	(Ljava/lang/String;)Z	isConvertable	(Ljava/lang/String;)Z
aic	a	(Ljava/lang/String;Lkj;)Z	convert	(Ljava/lang/String;Lnet/minecraft/server/IProgressUpdate;)Z
ain	a	(Lqx;)V	save	(Lnet/minecraft/server/EntityHuman;)V
ain	b	(Lqx;)V	load	(Lnet/minecraft/server/EntityHuman;)V
ain	f	()[Ljava/lang/String;	getSeenPlayers	()[Ljava/lang/String;
aio	aio	(Laia;)V	net.minecraft.server.WorldMapCollection	(Lnet/minecraft/server/IDataManager;)V
aio	a	(Ljava/lang/Class;Ljava/lang/String;)Lahj;	get	(Ljava/lang/Class;Ljava/lang/String;)Lnet/minecraft/server/WorldMapBase;
aio	a	(Ljava/lang/String;Lahj;)V	a	(Ljava/lang/String;Lnet/minecraft/server/WorldMapBase;)V
aio	a	()V	a	()V
aio	a	(Lahj;)V	a	(Lnet/minecraft/server/WorldMapBase;)V
aio	b	()V	b	()V
aio	a	(Ljava/lang/String;)I	a	(Ljava/lang/String;)I
aip	aip	()V	net.minecraft.server.FileIOThread	()V
aip	run	()V	run	()V
aip	b	()V	b	()V
aip	a	(Laiq;)V	a	(Lnet/minecraft/server/IAsyncChunkSaver;)V
aip	a	()V	a	()V
aip	{}	()V	{}	()V
aiq	c	()Z	c	()Z
ais	ais	(I)V	net.minecraft.server.BlockAnvil	(I)V
ais	b	()Z	b	()Z
ais	c	()Z	c	()Z
ais	a	(II)I	a	(II)I
ais	a	(I)I	a	(I)I
ais	a	(Lxv;IIILmd;)V	postPlace	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityLiving;)V
ais	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
ais	d	()I	d	()I
ais	b	(I)I	getDropData	(I)I
ais	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
ais	a	(Lpw;)V	a	(Lnet/minecraft/server/EntityFallingBlock;)V
ais	a_	(Lxv;IIII)V	a_	(Lnet/minecraft/server/World;IIII)V
ais	{}	()V	{}	()V
ait	ait	(I)V	net.minecraft.server.BlockBeacon	(I)V
ait	a	(Lxv;)Lanq;	a	(Lnet/minecraft/server/World;)Lnet/minecraft/server/TileEntity;
ait	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
ait	c	()Z	c	()Z
ait	b	()Z	b	()Z
ait	d	()I	d	()I
aiu	aiu	(I)V	net.minecraft.server.BlockBed	(I)V
aiu	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
aiu	a	(II)I	a	(II)I
aiu	d	()I	d	()I
aiu	b	()Z	b	()Z
aiu	c	()Z	c	()Z
aiu	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
aiu	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
aiu	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
aiu	p	()V	p	()V
aiu	b_	(I)Z	b_	(I)Z
aiu	c_	(I)Z	c_	(I)Z
aiu	a	(Lxv;IIIZ)V	a	(Lnet/minecraft/server/World;IIIZ)V
aiu	b	(Lxv;IIII)Ls;	b	(Lnet/minecraft/server/World;IIII)Lnet/minecraft/server/ChunkCoordinates;
aiu	a	(Lxv;IIIIFI)V	dropNaturally	(Lnet/minecraft/server/World;IIIIFI)V
aiu	q_	()I	q_	()I
aiu	a	(Lxv;IIIILqx;)V	a	(Lnet/minecraft/server/World;IIIILnet/minecraft/server/EntityHuman;)V
aiu	{}	()V	{}	()V
aiv	aiv	(II)V	net.minecraft.server.BlockBookshelf	(II)V
aiv	a	(I)I	a	(I)I
aiv	a	(Ljava/util/Random;)I	a	(Ljava/util/Random;)I
aiv	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
aiw	aiw	(I)V	net.minecraft.server.BlockBrewingStand	(I)V
aiw	c	()Z	c	()Z
aiw	d	()I	d	()I
aiw	a	(Lxv;)Lanq;	a	(Lnet/minecraft/server/World;)Lnet/minecraft/server/TileEntity;
aiw	b	()Z	b	()Z
aiw	a	(Lxv;IIILanw;Ljava/util/List;Llq;)V	a	(Lnet/minecraft/server/World;IIILnet/minecraft/server/AxisAlignedBB;Ljava/util/List;Lnet/minecraft/server/Entity;)V
aiw	f	()V	f	()V
aiw	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
aiw	a	(Lxv;IIIII)V	remove	(Lnet/minecraft/server/World;IIIII)V
aiw	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
aix	aix	(IILagb;)V	net.minecraft.server.BlockFlower	(IILnet/minecraft/server/Material;)V
aix	aix	(II)V	net.minecraft.server.BlockFlower	(II)V
aix	b	(Lxv;III)Z	canPlace	(Lnet/minecraft/server/World;III)Z
aix	d_	(I)Z	d_	(I)Z
aix	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
aix	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
aix	c	(Lxv;III)V	c	(Lnet/minecraft/server/World;III)V
aix	d	(Lxv;III)Z	d	(Lnet/minecraft/server/World;III)Z
aix	e	(Lxv;III)Lanw;	e	(Lnet/minecraft/server/World;III)Lnet/minecraft/server/AxisAlignedBB;
aix	c	()Z	c	()Z
aix	b	()Z	b	()Z
aix	d	()I	d	()I
aiy	aiy	(IIZ)V	net.minecraft.server.BlockButton	(IIZ)V
aiy	e	(Lxv;III)Lanw;	e	(Lnet/minecraft/server/World;III)Lnet/minecraft/server/AxisAlignedBB;
aiy	r_	()I	r_	()I
aiy	c	()Z	c	()Z
aiy	b	()Z	b	()Z
aiy	b_	(Lxv;IIII)Z	canPlace	(Lnet/minecraft/server/World;IIII)Z
aiy	b	(Lxv;III)Z	canPlace	(Lnet/minecraft/server/World;III)Z
aiy	a	(Lxv;IIIIFFFI)I	getPlacedData	(Lnet/minecraft/server/World;IIIIFFFI)I
aiy	l	(Lxv;III)I	l	(Lnet/minecraft/server/World;III)I
aiy	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
aiy	n	(Lxv;III)Z	n	(Lnet/minecraft/server/World;III)Z
aiy	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
aiy	e	(I)V	e	(I)V
aiy	a	(Lxv;IIILqx;)V	attack	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;)V
aiy	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
aiy	a	(Lxv;IIIII)V	remove	(Lnet/minecraft/server/World;IIIII)V
aiy	b	(Lyf;IIII)Z	b	(Lnet/minecraft/server/IBlockAccess;IIII)Z
aiy	c	(Lyf;IIII)Z	c	(Lnet/minecraft/server/IBlockAccess;IIII)Z
aiy	i	()Z	isPowerSource	()Z
aiy	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
aiy	f	()V	f	()V
aiy	a	(Lxv;IIILlq;)V	a	(Lnet/minecraft/server/World;IIILnet/minecraft/server/Entity;)V
aiy	o	(Lxv;III)V	o	(Lnet/minecraft/server/World;III)V
aiy	d	(Lxv;IIII)V	d	(Lnet/minecraft/server/World;IIII)V
aiz	aiz	(II)V	net.minecraft.server.BlockCactus	(II)V
aiz	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
aiz	e	(Lxv;III)Lanw;	e	(Lnet/minecraft/server/World;III)Lnet/minecraft/server/AxisAlignedBB;
aiz	a	(I)I	a	(I)I
aiz	b	()Z	b	()Z
aiz	c	()Z	c	()Z
aiz	d	()I	d	()I
aiz	b	(Lxv;III)Z	canPlace	(Lnet/minecraft/server/World;III)Z
aiz	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
aiz	d	(Lxv;III)Z	d	(Lnet/minecraft/server/World;III)Z
aiz	a	(Lxv;IIILlq;)V	a	(Lnet/minecraft/server/World;IIILnet/minecraft/server/Entity;)V
aj	aj	()V	net.minecraft.server.CommandHelp	()V
aj	c	()Ljava/lang/String;	c	()Ljava/lang/String;
aj	a	()I	a	()I
aj	a	(Laa;)Ljava/lang/String;	a	(Lnet/minecraft/server/ICommandListener;)Ljava/lang/String;
aj	b	()Ljava/util/List;	b	()Ljava/util/List;
aj	b	(Laa;[Ljava/lang/String;)V	b	(Lnet/minecraft/server/ICommandListener;[Ljava/lang/String;)V
aj	d	(Laa;)Ljava/util/List;	d	(Lnet/minecraft/server/ICommandListener;)Ljava/util/List;
aj	d	()Ljava/util/Map;	d	()Ljava/util/Map;
aja	aja	(II)V	net.minecraft.server.BlockCake	(II)V
aja	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
aja	f	()V	f	()V
aja	e	(Lxv;III)Lanw;	e	(Lnet/minecraft/server/World;III)Lnet/minecraft/server/AxisAlignedBB;
aja	a	(II)I	a	(II)I
aja	a	(I)I	a	(I)I
aja	b	()Z	b	()Z
aja	c	()Z	c	()Z
aja	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
aja	a	(Lxv;IIILqx;)V	attack	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;)V
aja	b	(Lxv;IIILqx;)V	b	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;)V
aja	b	(Lxv;III)Z	canPlace	(Lnet/minecraft/server/World;III)Z
aja	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
aja	d	(Lxv;III)Z	d	(Lnet/minecraft/server/World;III)Z
aja	a	(Ljava/util/Random;)I	a	(Ljava/util/Random;)I
aja	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
ajb	ajb	(I)V	net.minecraft.server.BlockCarrots	(I)V
ajb	a	(II)I	a	(II)I
ajb	h	()I	h	()I
ajb	j	()I	j	()I
ajc	ajc	(I)V	net.minecraft.server.BlockCauldron	(I)V
ajc	a	(II)I	a	(II)I
ajc	a	(Lxv;IIILanw;Ljava/util/List;Llq;)V	a	(Lnet/minecraft/server/World;IIILnet/minecraft/server/AxisAlignedBB;Ljava/util/List;Lnet/minecraft/server/Entity;)V
ajc	f	()V	f	()V
ajc	c	()Z	c	()Z
ajc	d	()I	d	()I
ajc	b	()Z	b	()Z
ajc	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
ajc	f	(Lxv;III)V	f	(Lnet/minecraft/server/World;III)V
ajc	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
ajd	ajd	(I)V	net.minecraft.server.BlockChest	(I)V
ajd	c	()Z	c	()Z
ajd	b	()Z	b	()Z
ajd	d	()I	d	()I
ajd	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
ajd	g	(Lxv;III)V	onPlace	(Lnet/minecraft/server/World;III)V
ajd	a	(Lxv;IIILmd;)V	postPlace	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityLiving;)V
ajd	d_	(Lxv;III)V	d_	(Lnet/minecraft/server/World;III)V
ajd	a	(I)I	a	(I)I
ajd	b	(Lxv;III)Z	canPlace	(Lnet/minecraft/server/World;III)Z
ajd	l	(Lxv;III)Z	l	(Lnet/minecraft/server/World;III)Z
ajd	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
ajd	a	(Lxv;IIIII)V	remove	(Lnet/minecraft/server/World;IIIII)V
ajd	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
ajd	a	(Lxv;)Lanq;	a	(Lnet/minecraft/server/World;)Lnet/minecraft/server/TileEntity;
ajd	n	(Lxv;III)Z	n	(Lnet/minecraft/server/World;III)Z
aje	aje	(II)V	net.minecraft.server.BlockClay	(II)V
aje	a	(ILjava/util/Random;I)I	getDropType	(ILjava/util/Random;I)I
aje	a	(Ljava/util/Random;)I	a	(Ljava/util/Random;)I
ajf	ajf	()V	net.minecraft.server.BlockCloth	()V
ajf	a	(II)I	a	(II)I
ajf	b	(I)I	getDropData	(I)I
ajf	e_	(I)I	e_	(I)I
ajf	d	(I)I	d	(I)I
ajg	ajg	(I)V	net.minecraft.server.BlockCocoa	(I)V
ajg	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
ajg	d	(Lxv;III)Z	d	(Lnet/minecraft/server/World;III)Z
ajg	d	()I	d	()I
ajg	b	()Z	b	()Z
ajg	c	()Z	c	()Z
ajg	e	(Lxv;III)Lanw;	e	(Lnet/minecraft/server/World;III)Lnet/minecraft/server/AxisAlignedBB;
ajg	a	(Lyf;III)V	updateShape	(Lnet/minecraft/server/IBlockAccess;III)V
ajg	a	(Lxv;IIILmd;)V	postPlace	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityLiving;)V
ajg	a	(Lxv;IIIIFFFI)I	getPlacedData	(Lnet/minecraft/server/World;IIIIFFFI)I
ajg	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
ajg	c	(I)I	c	(I)I
ajg	a	(Lxv;IIIIFI)V	dropNaturally	(Lnet/minecraft/server/World;IIIIFI)V
ajg	h	(Lxv;III)I	getDropData	(Lnet/minecraft/server/World;III)I
ajh	ajh	(I)V	net.minecraft.server.BlockCommand	(I)V
ajh	a	(Lxv;)Lanq;	a	(Lnet/minecraft/server/World;)Lnet/minecraft/server/TileEntity;
ajh	a	(Lxv;IIII)V	doPhysics	(Lnet/minecraft/server/World;IIII)V
ajh	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
ajh	r_	()I	r_	()I
ajh	a	(Lxv;IIILqx;IFFF)Z	interact	(Lnet/minecraft/server/World;IIILnet/minecraft/server/EntityHuman;IFFF)Z
ajj	ajj	(II)V	net.minecraft.server.BlockCrops	(II)V
ajj	d_	(I)Z	d_	(I)Z
ajj	b	(Lxv;IIILjava/util/Random;)V	b	(Lnet/minecraft/server/World;IIILjava/util/Random;)V
ajj	c_	(Lxv;III)V	c_	(Lnet/minecraft/server/World;III)V
